Alabama, 2010, 40, 11664
Alaska, 2010, 40, 1714
Arizona, 2010, 40, 25492
Arkansas, 2010, 40, 2586
California, 2010, 40, 32342
Colorado, 2010, 40, 20282
Connecticut, 2010, 40, 3831
Delaware, 2010, 40, 3995
District of Columbia, 2010, 40, 2599
Georgia, 2010, 40, 40314
Hawaii, 2010, 40, 1943
Idaho, 2010, 40, 4579
Illinois, 2010, 40, 39390
Indiana, 2010, 40, 12525
Iowa, 2010, 40, 1776
Kansas, 2010, 40, 8819
Kentucky, 2010, 40, 13293
Louisiana, 2010, 40, 17141
Maine, 2010, 40, 6150
Maryland, 2010, 40, 8869
Massachusetts, 2010, 40, 27786
Michigan, 2010, 40, 14587
Minnesota, 2010, 40, 6611
Mississippi, 2010, 40, 16874
Missouri, 2010, 40, 9621
Montana, 2010, 40, 2694
Nebraska, 2010, 40, 2773
Nevada, 2010, 40, 10499
New Hampshire, 2010, 40, 3951
New Jersey, 2010, 40, 7040
New Mexico, 2010, 40, 7505
New York, 2010, 40, 14069
North Carolina, 2010, 40, 25215
North Dakota, 2010, 40, 6256
Ohio, 2010, 40, 12705
Oklahoma, 2010, 40, 3044
Oregon, 2010, 40, 6711
Pennsylvania, 2010, 40, 17347
Rhode Island, 2010, 40, 6382
South Carolina, 2010, 40, 7397
South Dakota, 2010, 40, 5713
Tennessee, 2010, 40, 11651
Texas, 2010, 40, 50844
Utah, 2010, 40, 5751
Vermont, 2010, 40, 2777
Virginia, 2010, 40, 57721
Washington, 2010, 40, 3137
West Virginia, 2010, 40, 8952
Wisconsin, 2010, 40, 4946
Wyoming, 2010, 40, 5056
New York City, 2010, 40, 89577
Alabama, 2010, 41, 11602
Alaska, 2010, 41, 1684
Arizona, 2010, 41, 24402
Arkansas, 2010, 41, 2670
California, 2010, 41, 34469
Colorado, 2010, 41, 18294
Connecticut, 2010, 41, 3780
Delaware, 2010, 41, 4070
District of Columbia, 2010, 41, 2802
Georgia, 2010, 41, 40979
Hawaii, 2010, 41, 1826
Idaho, 2010, 41, 4664
Illinois, 2010, 41, 41354
Indiana, 2010, 41, 12861
Iowa, 2010, 41, 2323
Kansas, 2010, 41, 8485
Kentucky, 2010, 41, 10269
Louisiana, 2010, 41, 15871
Maine, 2010, 41, 5979
Maryland, 2010, 41, 4717
Massachusetts, 2010, 41, 24328
Michigan, 2010, 41, 16239
Minnesota, 2010, 41, 6466
Mississippi, 2010, 41, 17605
Missouri, 2010, 41, 9672
Montana, 2010, 41, 2763
Nebraska, 2010, 41, 2486
Nevada, 2010, 41, 11428
New Hampshire, 2010, 41, 4326
New Jersey, 2010, 41, 7626
New Mexico, 2010, 41, 7232
New York, 2010, 41, 12712
North Carolina, 2010, 41, 26280
North Dakota, 2010, 41, 5956
Ohio, 2010, 41, 15209
Oklahoma, 2010, 41, 3025
Oregon, 2010, 41, 6089
Pennsylvania, 2010, 41, 17239
Rhode Island, 2010, 41, 5954
South Carolina, 2010, 41, 7054
South Dakota, 2010, 41, 5543
Tennessee, 2010, 41, 11812
Texas, 2010, 41, 50670
Utah, 2010, 41, 7057
Vermont, 2010, 41, 2946
Virginia, 2010, 41, 60977
Washington, 2010, 41, 3269
West Virginia, 2010, 41, 10694
