"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Connecticut,Season 2016-17,1348,19,968,0,0,62,263,0
States,Delaware,Season 2016-17,3090,5,659,4,11,27,127,1
States,District of Columbia,Season 2016-17,73,1,34,0,3,0,4,0
States,Florida,Season 2016-17,X,X,X,X,X,X,X,X
States,Georgia,Season 2016-17,3956,27,1058,8,34,333,167,0
States,Hawaii,Season 2016-17,2442,53,889,14,7,89,189,0
States,Idaho,Season 2016-17,1311,9,983,3,1,16,26,0
States,Illinois,Season 2016-17,3060,6,479,0,3,325,80,0
States,Indiana,Season 2016-17,1255,39,694,0,2,112,122,0
States,Iowa,Season 2016-17,1839,15,822,9,7,79,150,0
States,Kansas,Season 2016-17,330,4,122,13,15,2,10,0
States,Kentucky,Season 2016-17,541,20,250,0,57,3,9,0
States,Louisiana,Season 2016-17,1947,40,602,2,33,37,155,0
States,Maine,Season 2016-17,894,0,268,2,137,8,53,0
States,Maryland,Season 2016-17,5997,57,2068,0,16,94,557,39
States,Massachusetts,Season 2016-17,485,6,312,0,1,0,4,0
States,Michigan,Season 2016-17,962,20,541,0,29,57,145,1
States,Minnesota,Season 2016-17,6521,24,1513,25,2,75,808,0
States,Mississippi,Season 2016-17,355,9,143,0,1,15,20,0
States,Missouri,Season 2016-17,363,3,141,2,0,6,9,0
States,Montana,Season 2016-17,739,36,314,2,4,0,37,0
States,Nebraska,Season 2016-17,280,5,111,2,8,9,12,0
States,Nevada,Season 2016-17,568,13,270,0,5,2,43,0
States,New Hampshire,Season 2016-17,410,2,218,1,1,4,46,0
States,New Jersey,Season 2016-17,668,4,285,1,74,2,3,0
States,New Mexico,Season 2016-17,1818,14,481,1,2,6,58,0
States,New York,Season 2016-17,2581,10,857,17,56,39,164,0
States,North Carolina,Season 2016-17,901,39,285,3,8,28,60,0
States,North Dakota,Season 2016-17,1029,26,351,1,10,37,278,1
States,Ohio,Season 2016-17,1431,13,832,8,31,64,173,15
States,Oklahoma,Season 2016-17,824,27,220,0,18,3,62,0
States,Oregon,Season 2016-17,457,1,246,1,53,0,0,0
States,Pennsylvania,Season 2016-17,1382,4,533,9,8,49,50,1
States,Rhode Island,Season 2016-17,447,3,143,0,0,3,66,0
States,South Carolina,Season 2016-17,1077,10,263,2,22,55,36,0
